tr_222m_100per,tr_44m_100per,tr_unet_100per
0.517563269,0.288217488,0.319059
0.400867713,0.169396288,0.241716
0.358460414,0.14833514,0.212839
0.334423738,0.134641982,0.140949
0.318383078,0.129130051,0.158242
0.30419847,0.123461965,0.112992
0.293593787,0.116748274,0.102504
0.28233011,0.112410934,0.156333
0.273877898,0.110881042,0.104805
0.267135322,0.106355347,0.086479
0.260559573,0.102822744,0.089662
0.255771153,0.102900397,0.077584
0.251116052,0.098569387,0.084571
0.246340471,0.094113429,0.062542
0.241647008,0.090782495,0.061419
0.240843541,0.091273817,0.063637
0.236979167,0.088621089,0.06201
0.23390146,0.086608177,0.073955
0.230943917,0.084908356,0.054147
0.228041332,0.082842881,0.062969