tr_222m_10per,tr_222m_30per,tr_222m_50per,tr_44m_10per,tr_44m_30per,tr_44m_50per,tr_unet_10per,tr_unet_30per,tr_unet_50per
0.629551426,0.603161613,0.576504996,0.582977656,0.670124816,0.487468457,0.59599869,0.560867649,0.477251282
0.556985602,0.526977109,0.470778184,0.436364602,0.486595854,0.29835413,0.522480711,0.383572975,0.305309584
0.52009394,0.48059954,0.419562254,0.360246699,0.447446888,0.258865041,0.454508226,0.332016109,0.266908406
0.493163012,0.443705298,0.390428225,0.324146114,0.431467753,0.239936876,0.406734042,0.302839314,0.230698165
0.470524665,0.412757084,0.37151127,0.295567218,0.41563266,0.231447811,0.36559118,0.26851956,0.207326079
0.449892789,0.390767917,0.35507622,0.276225194,0.405082785,0.217615012,0.353325464,0.251053995,0.18737822
0.431415495,0.372378697,0.342407326,0.266462926,0.400876086,0.212751658,0.322738145,0.220986911,0.166733778
0.412692331,0.352931568,0.333683429,0.248879084,0.397165952,0.209932963,0.318249922,0.212314125,0.150491193
0.396114036,0.340261041,0.323847144,0.241767509,0.394993136,0.204289301,0.314879261,0.200379657,0.143117199
0.385559134,0.331515068,0.317665547,0.235677702,0.39087184,0.196541848,0.29973289,0.182946826,0.132959016
0.373268172,0.319025197,0.310459145,0.225234397,0.38676424,0.193682639,0.288104881,0.176810422,0.120436328
0.363246869,0.307236812,0.303509502,0.216197375,0.382465914,0.191606486,0.280553181,0.165917081,0.120362345
0.35548763,0.298390279,0.297899453,0.217904301,0.377453009,0.186099348,0.279160682,0.16050315,0.109533057
0.347494368,0.291153148,0.295209567,0.21726251,0.375826381,0.183017302,0.27514587,0.162646623,0.108543063
0.342570607,0.282182023,0.289806308,0.211689478,0.372286605,0.183776121,0.266643081,0.155060723,0.099014004
0.335334674,0.27760073,0.285060169,0.201265851,0.371820579,0.180419243,0.248020263,0.150022225,0.096630164
0.329853363,0.271282632,0.280783162,0.197081244,0.370324746,0.176642968,0.24794784,0.153355987,0.093063872
0.327098433,0.267487794,0.276561047,0.203171715,0.371262853,0.175919935,0.239467651,0.142582092,0.089088915
0.322722483,0.264435464,0.271311862,0.190931756,0.368782559,0.170976833,0.23394765,0.134131569,0.089403479
0.319307458,0.257279887,0.269836865,0.194327909,0.36460437,0.170723191,0.236737108,0.126440016,0.087462387